Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source
Tahom U.; Yuenyaw S.; Dhurata S.; Wantong C.; Kitthanarut V.; Salukkham E.,"Tahom, Utis (59493835100)""; Yuenyaw, Sinsup (60300663400); Dhurata, Samran (60300976800); Wantong, Chalawan (60301461400); Kitthanarut, Varit (59000339600);"" Salukkham, Ekkaluk (60301461500)","59493835100"";60300663400;60300976800;60301461400;59000339600;"" 60301461500",Farmers’ Application of Smart Agriculture Systems to Climate Change,2025,Journal of Multidisciplinary in Social Sciences,21,3,,,,0,,https://www.scopus.com/pages/publications/105026883828?origin=resultslist,"Climate change has disrupted agricultural practices worldwide, creating serious pressures on food security and environmental sustainability. This study examines how smart agriculture systems can help reduce climate-related impacts on farming, with attention to precision technologies such as IoT-based irrigation, AI-supported crop monitoring, and adaptive greenhouse management. Using a participatory action research approach, data were gathered from in-depth interviews, focus group discussions, and non-participant observations. The study worked with 93 farmers across six districts in Buriram Province, Thailand, and introduced smart farming tools to address three major challenges: water shortages, pest control, and resilience to extreme weather. The results show notable improvements in both efficiency and sustainability. Smart irrigation systems lowered water use by 40%, ensuring more accurate watering based on crop needs. Greenhouse cultivation increased yields by 25%, producing an average of 530 kilograms per unit each year, with stable quality and chemical-free produce. The use of biological pest control reduced pest outbreaks by 60%, decreasing reliance on synthetic pesticides. Economically, production costs fell by 30%, and the average payback period for technology investments was about five years, indicating that these innovations are financially viable. The study also shows that collaboration among researchers, policymakers, and farmers has supported the adoption of these technologies and aligned farming practices with broader environmental goals. Overall, this research highlights the role of smart agriculture in strengthening climate resilience and promoting sustainable development in rural communities. The insights offered can guide stakeholders seeking practical and scalable solutions to current agricultural challenges. © (2025), (Research and Development Institute Suan Dusit University). All rights reserved.","Agriculture systems""; Climate change;"" Farmers' application of smart",,Article,Final,,Scopus
Eltarabily M.G.; Elshaarawy M.K.; Bali K.M.; Gabr M.E.,"Eltarabily, Mohamed Galal (56990454800)""; Elshaarawy, Mohamed Kamel (58557199500); Bali, Khaled M. (7004096197);"" Gabr, Mohamed Elsayed (60431880500)","56990454800"";58557199500;7004096197;"" 60431880500",Predicting reference evapotranspiration in semi-arid regions using optimized machine learning models,2025,Journal of Water and Climate Change,16,10,,3082,3108,8,10.2166/wcc.2025.853,https://www.scopus.com/pages/publications/105023558848?origin=resultslist,"Accurate estimation of reference evapotranspiration (ETo) is essential for efficient agricultural water management, especially in arid and semi-arid regions where climate variability limits traditional methods. This study evaluates the FAO Penman–Monteith (PM) equation and five machine learning (ML) models using a 5-year (2019–2023) dataset from two California stations: Parlier (Mediterranean) and Meloland (desert). Among 31 input combinations, CatBoost outperformed others, achieving an R2 of 0.995 and a root mean squared error (RMSE) of 0.161 mm/day at Parlier, and an R2 of 0.991 and an RMSE of 0.211 mm/day at Meloland. Using only mean temperature and net radiation, CatBoost maintained strong performance (R2: 0.932–0.948"";"" RMSE: 0.507–0.589 mm/day). Bayesian optimization enhanced model tuning and reduced overfitting. Compared with random forest and XGBoost, CatBoost reduced RMSE by 5–12% and generalized well across sites. Violin boxplots confirmed its stability and accuracy. A user-friendly graphical interface was also developed for real-time ETo estimation. These results highlight the promise of ML-based ETo prediction tools for practical, scalable use in data-limited environments. © 2025 The Authors.","Bayesian optimization""; ensemble learning; gradient boosting; graphical user interface; machine learning;"" reference evapotranspiration","California""; United States; Adaptive boosting; Agricultural machinery; Arid regions; Bayesian networks; Climate change; Decision trees; Evapotranspiration; Learning systems; Machine learning; Mean square error; Random forests; Accurate estimation; Agricultural water management; Bayesian optimization; Ensemble learning; Gradient boosting; Machine learning models; Machine-learning; Reference evapotranspiration; Root mean squared errors; Semi-arid region; agricultural management; ensemble forecasting; evapotranspiration; machine learning; optimization; prediction; semiarid region; water management;"" Graphical user interfaces",Article,Final,"All Open Access"";"" Gold Open Access",Scopus
Feng S.; Wang Z.; Huang X.,"Feng, Siyang (59927219400)""; Wang, Zibo (60183804600);"" Huang, Xiaorong (25630157100)","59927219400"";60183804600;"" 25630157100",Spatiotemporal Evolution and Driving Forces of Desertification in Typical Semi-Arid Regions of China Based on an ML Model,2025,Journal of the American Water Resources Association,61,6,e70065,,,1,10.1111/1752-1688.70065,https://www.scopus.com/pages/publications/105021300429?origin=resultslist,"Land desertification, a major form of ecosystem degradation, poses severe ecological and socio-economic challenges worldwide. The Xiliao River Basin, located in the semi-arid agro-pastoral transition zone of northern China, has long suffered desertification, making it crucial to clarify its dynamics for ecological restoration. In this study, a Desertification Difference Index (DDI) was reconstructed at 5-year intervals from 1985 to 2025 by integrating Landsat imagery on Google Earth Engine (GEE) with an Albedo–NDVI feature space. Fifteen natural and socio-economic indicators were incorporated into an XGBoost model with SHAP interpretability to quantify nonlinear contributions and factor associations. Results show: (1) desertification intensified from 1985 to 2000, with degraded land expanding 2.74% annually, but reversed in 2001–2025, when recovery exceeded degradation at 3.01% annually""; (2) strong spatial heterogeneity was evident, with degradation concentrated in the Horqin Sandy Land, while Chifeng and Tongliao showed recovery;"" (3) the model achieved high accuracy (test R2 = 0.98). SHAP analysis indicated irrigation water use (21.2%), precipitation (15.7%), and grazing (13.5%) dominated 1985–2000, whereas precipitation (26.5%), cropland reduction (16.8%), and soil moisture (14.7%) were key in 2001–2025. These results reveal interactive mechanisms and temporal shifts between climate and human activities, supporting targeted ecological management in semi-arid regions. © 2025 American Water Resources Association.","climate change and human activities""; desertification dynamics; driving factors; machine learning;"" semi-arid ecosystems","Chifeng""; China; Horqin Desert; Nei Monggol; Tongliao; Abiotic; Arid regions; Climate change; Climate models; Economics; Ecosystems; Irrigation; Soil testing; Water resources; Climate change and human activity; Desertification dynamic; Driving factors; Driving forces; Human activities; Land desertification; Machine-learning; Semi-arid ecosystems; Semi-arid region; Spatiotemporal evolution; climate change; desertification; human activity; machine learning; river basin; spatiotemporal analysis; transition zone;"" Soil moisture",Article,Final,,Scopus
Yassin F.; Wong J.S.; Pomeroy J.W.; Pietroniro A.; Davison B.,"Yassin, Fuad (57193689603)""; Wong, Jefferson S. (57193890491); Pomeroy, John W. (24492458800); Pietroniro, Alain (7003843849);"" Davison, Bruce (8938636900)","57193689603"";57193890491;24492458800;7003843849;"" 8938636900",Characterising the Hydrology and Water Resources of a Regulated Cold-Regions River Basin Using a Land Surface Hydrological Model,2025,Hydrological Processes,39,11,e70320,,,2,10.1002/hyp.70320,https://www.scopus.com/pages/publications/105023141384?origin=resultslist,"The MESH hydrological model, driven by a 10 km meteorological reanalysis, was deployed to simulate the Saskatchewan River Basin (SRB), a 406 000 km2 cold-region basin in Western Canada with diverse climate zones and extensive human regulation. The model was validated using multi-source observation and enabled detailed assessment of the basin's water balance components, runoff generation processes and irrigation impacts on hydrology. The model achieved Kling-Gupta Efficiency values of 0.35–0.85 across 23 streamflow stations (2005–2016), indicating reliable capture of observed flow regimes and reservoir regulation effects. Simulated evapotranspiration correlated strongly with satellite estimates (GLEAM, r = 0.98), and the model realistically reproduced seasonal snowpack dynamics and GRACE-derived water storage variations, with minor underestimation of peak snow water equivalent. Glacier diagnostics revealed that total runoff from glacier-covered areas contributes ~2.9% of SRB's mean annual runoff, of which 0.75% is glacier ice melt. Glacier ice melt runoff contributions varied by sub-basin, with the highest proportions from high-elevation regions: 1.96% to the North Saskatchewan near Edmonton, 1.14% to the Bow near its mouth, 0.66% to the Oldman and 0.32% to the Red Deer. A negative glacier mass balance trend strongest in southern sub-basins, signals declining ice reserves and the long-term vulnerability of glacier-fed water supplies. Diagnosis of runoff processes revealed significant variability in runoff generation, particularly in mountain headwaters and identified snowmelt as the dominant contributor, involved in 84.2% of runoff generation, broken down as snowmelt 43.4%, rain-on-snowmelt 10.2% and mixed events 30.6% of the SRB's annual runoff. Rainfall events contributed 15.8% and events with rainfall involved totalled 56.6% of annual runoff. This highlights the complexity of runoff generation processes in the SRB and the substantial role of snowmelt in sustaining the basin's hydrology. The impact of irrigation on evapotranspiration and streamflow was significant, with irrigation increasing mean annual evapotranspiration by 26.4% and reducing streamflow in key locations by up to 11%. Overall, this study provides a comprehensive and validated understanding of the SRB's hydrology and water resources, emphasising the influence of interactions between natural processes and human interventions. The insights from this research can inform water management strategies, particularly those aimed at adapting to future environmental changes. The findings underscore the importance of MESH as a robust tool for coupled hydrological and water resources modelling in managed, diverse, cold-regions basins. © 2025 The Author(s). Hydrological Processes published by John Wiley & Sons Ltd.","cold-regions hydrological modelling""; dynamically zoned target release (DZTR) reservoir operations; glaciers; irrigation module; MESH; Saskatchewan River Basin;"" snow hydrology","Alberta""; Bow Basin; Canada; Oldman Basin; Red Deer Basin; Saskatchewan Basin; Climate models; Evapotranspiration; Ice; Irrigation; Mesh generation; Rain; Reservoirs (water); Rivers; Runoff; Snow; Snow melting systems; Stream flow; Surface measurement; Surface water resources; Watersheds; Cold regions hydrological model; Dynamically zoned target release  reservoir operation; Irrigation module; MESH; Reservoir operation; River basins; Saskatchewan; Saskatchewan river basin; Snow hydrology; Snow melt; climate change; climate effect; cold region; evapotranspiration; glacier; glacier mass balance; GRACE; hydrological modeling; irrigation; model validation; reservoir; runoff; snowmelt; streamflow; water budget;"" Glaciers",Article,Final,"All Open Access"";"" Hybrid Gold Open Access",Scopus
Jagadeesan J.; Nagarajan R.,"Jagadeesan, J. (60263610700)"";"" Nagarajan, R. (56304384700)","60263610700"";"" 56304384700",An IoT-Driven Federated Learning Method for Rainfall Prediction Employing Attention Convolutional Recurrent Networks and Golden Jackal Optimization Techniques,2025,"Engineering, Technology and Applied Science Research",15,5,,27858,27862,0,10.48084/etasr.11957,https://www.scopus.com/pages/publications/105026352458?origin=resultslist,"Forecasting heavy rainfall poses a significant challenge for meteorological departments, as it is closely related to human life and the economy, being also a reason for the natural calamities, such as droughts and floods, that people face around the world each year. The precision of rainfall prediction is of enormous significance for countries such as India, whose economy is mainly dependent on agriculture. Rainfall prediction supports evading floods, saving properties, and human lives. There is a need to improve cooperative platforms for weather forecasting on large-scale meteorological data to address the global climate challenge. With the rapid improvement of Artificial Intelligence (AI), Machine Learning (ML) is progressively becoming popular for forecasting rainfall. Federated Learning (FL) is a subset of ML that has become a popular technology for data analysis for Internet of Things (IoT) applications. The innovative growth of IoT-based methods improves smart agriculture, leading to advanced agricultural systems that progressively increase crop yields, reduce irrigation waste, and make it more profitable. This study presents a Method for Rainfall Prediction by employing Attention Convolutional Recurrent Networks and the Golden Jackal Optimization (EMRF-ACRNGJO) approach. The proposed technique initially performs data preprocessing in various stages, such as missing value handling, duplicate removal, categorical to numerical encoding, and scaling. An Attention-based Convolutional Recurrent Neural Network (A-CRNN) is utilized for classification tasks, using the Golden Jackal Optimization (GJO) method for the hyperparameter tuning process. The EMRF-ACRNGJO method was tested on a benchmark dataset, demonstrating an accuracy of 73.30%. Copyright (c) by the authors","attention convolutional recurrent network""; federated learning; Golden Jackal Optimization (GJO); Internet of Things (IoT);"" rainfall prediction",,Article,Final,"All Open Access"";"" Gold Open Access",Scopus
Gao R.; Sun Y.; Chen Y.; Jiang H.; Wang D.; Ning T.; Wang K.; Qiao Y.,"Gao, Rui (59754347800)""; Sun, Yufei (59866329000); Chen, Yaru (57218365699); Jiang, Honghua (57191585282); Wang, Dong (59861428900); Ning, Tangyuan (7101956742); Wang, Kun (59863872600);"" Qiao, Yongliang (56486770900)","59754347800"";59866329000;57218365699;57191585282;59861428900;7101956742;59863872600;"" 56486770900",Individual plant detection and tracking for agricultural robotics in precision field management,2025,Computers and Electronics in Agriculture,239,,111063,,,3,10.1016/j.compag.2025.111063,https://www.scopus.com/pages/publications/105018672948?origin=resultslist,"Detection and tracking of individual plants in the field are crucial for precision agriculture, serving as foundational technologies for tasks like precision fertilization, precision weeding, and targeted irrigation. Existing models in agricultural scenarios tend to be highly complex, which hinders their deployment on embedded or small mobile devices. This study proposes a method for individual plant detection and tracking based on improved YOLOv8 model. First, the Partial Convolution (PConv) module is introduced to reduce the computational load and significantly decrease memory consumption. Additionally, the Spatial Pyramid Pooling-Fast (SPPF) is replaced with the Simplified SPPF (SimSPPF) structure to enhance the model's ability to recognize plants at different scales. Furthermore, a Normalization Attention Module (NAM) is added further to improve the model's attention to the object plants. Building on this, we integrate the StrongSORT object tracking algorithm with YOLOv8 to achieve precise tracking of individual plants in dynamic scenarios (e.g., varying light and background). Experimental results show that our method achieves a mAP50 of 93.60% in detection tasks, with a 22.58% reduction in model size, outperforming mainstream algorithms. In tracking tasks, the model achieves a maximum MOTA of 94.55% in real farmland scenarios. Furthermore, field tests were conducted using a Jetson Orin NX-based mobile platform under varying lighting conditions and in unseen cotton fields. The model maintained robust performance across these scenarios, demonstrating its generalization ability and supporting robotic-based intelligent weeding and precision task management in real-world agricultural environments. © 2025 Elsevier B.V.","Individual plant detection""; Smart farming; StrongSORT; Weed recognition;"" YOLOv8","Agricultural robots""; Object tracking; Precision engineering; Weed control; Agricultural robotics; Detection and tracking; Field management; Individual plant detection; Plant detections; Smart farming; Spatial pyramids; Strongsort; Weed recognition; YOLOv8; agricultural land; agricultural management; agricultural modeling; experimental study; farming system; field method; precision agriculture; robotics; scenario analysis;"" Precision agriculture",Article,Final,,Scopus
Ghosh A.; Siddiqui I.R.; Siddiqui A.R.,"Ghosh, Arijit (57212350415)""; Siddiqui, Iqra Rahman (60177009100);"" Siddiqui, Azizur Rahman (57644653200)","57212350415"";60177009100;"" 57644653200",Assessment of groundwater scenario in drought-prone semi-arid regions of the Indian subcontinent using time series decomposition and the machine learning models,2025,Cleaner Water,4,,100165,,,1,10.1016/j.clwat.2025.100165,https://www.scopus.com/pages/publications/105020753698?origin=resultslist,"Groundwater is most vital resources to survive people around the globe in terms of drinking, domestic, and irrigation purposes. About two billion people are heavily reliant on this resource for drinking. In recent days, both the quality and quantity of groundwater have deteriorated in the semi-arid region, particularly in the plateau fringe of the Bundelkhand in India. In this connection, it is very much essential to evaluate and assess the variations of groundwater storage and groundwater status over the Bundelkhand plateau in the heart of India. Therefore, the principal objectives of this study are i) to estimate the terrestrial water storage (TWS), Soil moisture (SM) and Groundwater storage (GWS) using Gravity Recovery and Climate Experiment (GRACE) and TerraClimate monthly datasets and ii) to assess the groundwater fluctuations and regional groundwater depletion trends using analytical methods using local in situ well data for water resource management. However, this study also emphasized predicting future conditions using both the time series decomposition model (Prophet) and the machine learning model (Random Forest) over the Bundelkhand plateau of India. The result indicates that the estimated water thickness value ranges from 23.23 cm to −22.07 cm (2002–2017). Average soil moisture changes vary from 1.58 cm (2016) to 17.41 cm (2003). In addition, maximum groundwater storage was 10.52 (2003), and minimum negative water storage occurred in −23.99 cm (2012). However, the average groundwater storage was −7.59 cm in the study period (2002–2017). Predicted results demonstrate that in the future (up to 2032) this region will face in shortage of groundwater (−28.65 cm). In terms of R2 value, RF performs slightly better (0.99) than Prophet (0.98). Each forecasting model indicates that a continuous decline trend up to 2032 in the Bundelkhand Plateau region. In this connection, the application of Google Earth Engine (GEE) and Python Notebook has a decent result on hydrological research using observed and satellite datasets, particularly in terms of a huge region with inadequate borehole datasets. Still, the weakness of this study is highly associated with the data shortage. In addition, this study incorporated simplified subtraction approaches without explicitly accounting for surface water and other hydrological components. However, this study will be helpful for future researchers and administrators to formulate short-term measures and long-term strategies in a semi-arid dry environment. © 2025","Bundelkhand plateau fringe""; Gravity recovery and climate experiment; Prophet machine learning model; Random forest; Soil moisture;"" Terrestrial waters storage",,Article,Final,"All Open Access""; Gold Open Access;"" Green Open Access",Scopus
Dhungel R.; Aiken R.; Lin X.; Kenyon S.; Colaizzi P.D.; O’Brien D.; Baumhardt R.L.; Kutikoff S.,"Dhungel, Ramesh (55843725300)""; Aiken, Robert (7006619082); Lin, Xiaomao (7404513583); Kenyon, Shannon (57211356590); Colaizzi, Paul D. (6602521460); O’Brien, Dan (57209425793); Baumhardt, R. Louis (6701914696);"" Kutikoff, Seth (57204650971)","55843725300"";7006619082;7404513583;57211356590;6602521460;57209425793;6701914696;"" 57204650971",Water savings policy in western Kansas: a decade-long satellite-based examination,2025,Irrigation Science,43,6,,1669,1679,0,10.1007/s00271-025-01024-x,https://www.scopus.com/pages/publications/105004359334?origin=resultslist,"Groundwater supports irrigated food production in the central and western United States. Groundwater decline in the Ogallala Aquifer region, observed in recent decades, indicates non-sustainable usage. Based on a decade-long study (2008–2017), we evaluated the effectiveness of the legislature (2013) that impose restrictions on groundwater over pumping and encourage groundwater conservation in Sheridan County, Kansas (SD-6) of Groundwater Management District 4 (GMD 4). We utilized remote-sensing energy and water balance model during the corn growing season (May through September), Landsat-derived vegetation indices (30 m spatial resolution), PRISM precipitation data, SSURGO soil moisture characteristics, and NLDAS weather data for quantifying water balance components (~ 596 km −2). Evapotranspiration (ET) and irrigation were simulated based on the assumption of well-watered conditions with management allowed depletion (MAD) of 0.5. Water right management units (WRMU) were used as experimental units (~ 150 fields) for statistical purposes, where WRMU shapes generally align with the shape of the center pivot of the respective field. Prior to restrictions, in-season water supply (irrigation plus precipitation) for the cultivated crops (corn, soybean, wheat, and grain sorghum) of WRMUs frequently exceeded expected consumptive water use (evapotranspiration). During the legislature period, in-season water supply rarely exceeded expected crop water use confirming the efficacy of water restrictions. Overall, stakeholder-led restrictions in groundwater allocations were 18% less than prior use which reduced withdrawals by 28%. We found that perceptions of expected water requirements shifted under the restrictions, with effective use of water conservation measures. © This is a U.S. Government work and not under copyright protection in the US"";"" foreign copyright protection may apply 2025.",,"Kansas""; Ogallala Aquifer; Sheridan County [Kansas]; United States; Crop protection; Energy policy; Grain (agricultural product); Food production; Groundwater conservation; Groundwater Management Districts; Management unit; Ogallala aquifers; Remote-sensing; Rights management; Water rights; Water-saving; Western United States; food production; groundwater; growing season; irrigation; maize; satellite altimetry; savings; soil moisture; sorghum; soybean; vegetation index; water budget; water planning; water supply; water use; wheat;"" Aquifers",Article,Final,,Scopus
Aglagal C.; Hssaisoune M.; El Hafyani M.; Ait El Kadi M.; Ait Brahim Y.; Bouchaou L.,"Aglagal, Chaima (60050256800)""; Hssaisoune, Mohammed (55761422400); El Hafyani, Mohammed (57559257400); Ait El Kadi, Moussa (58509248100); Ait Brahim, Yassine (57189468074);"" Bouchaou, Lhoussaine (6603080991)","60050256800"";55761422400;57559257400;58509248100;57189468074;"" 6603080991","Toward sustainable agricultural water management in an agribusiness system: a case study of the Chtouka plain, Morocco",2025,Euro-Mediterranean Journal for Environmental Integration,10,6,,4739,4753,5,10.1007/s41207-025-00909-9,https://www.scopus.com/pages/publications/105013462781?origin=resultslist,"The expansion of plastic-covered greenhouses (PCGs) in Morocco’s Souss-Massa region has exacerbated groundwater overexploitation, endangering local water resources and agricultural livelihoods. This study assesses the water demand and the impact of a desalination plant in the Chtouka plain using an integrated approach that combines remote sensing, CropWat modeling, and field surveys. Landsat and Sentinel-2 data were used to monitor PCGs from 1990 to 2023, applying object-oriented (OB) and pixel-based (PB) classification methods. Results showed that OB classification achieved 89.35% accuracy and a Cohen’s kappa of 0.78 for 2023. Additionally, CropWat estimated current and future crop irrigation requirements (CIR), highlighting the desalination plant’s key role. Initially designed to produce 275,000 m3/day, with 125,000 m3/day for irrigation, the plant now supplies 200,000 m3/day, meeting 48.62 Mm3/year of irrigation demand. By 2050, the plant is expected to supply 80 Mm3/year, covering 60% of the CIR, though only 73 Mm3 will be met, requiring alternative solutions. The study recommends adopting efficient irrigation techniques, stricter groundwater regulations, and expanding desalination projects to ensure sustainable water management and support the agricultural sector. Enhanced farmer training on sustainable practices is also crucial for preserving water resources. © Springer Nature Switzerland AG 2025.","Crop irrigation requirement (CIR)""; Desalination plant; Plastic-covered greenhouses (PCGs);"" Sustainable water management",,Article,Final,,Scopus
Zhao Z.; Zan M.; Ke J.; Zhou J.; Zhai L.; Xue C.; Yang S.; Dong Y.; Liu Y.,"Zhao, ZhongQiong (59510059700)""; Zan, Mei (55539269400); Ke, Jian (59510450000); Zhou, Jia (59294968900); Zhai, Lili (59294861600); Xue, Cong (58782242500); Yang, Shunfa (58782242400); Dong, Yu (60411927900);"" Liu, Yuntong (56667001400)","59510059700"";55539269400;59510450000;59294968900;59294861600;58782242500;58782242400;60411927900;"" 56667001400","Research on the construction of growth models for dominant tree species in the Manas River Basin, Xinjiang",2026,PeerJ,,,e20650,1,29,0,10.7717/peerj.20650,https://www.scopus.com/pages/publications/105030856626?origin=resultslist,"Research on forest growth models is not only crucial for regional ecological security and the optimal allocation of water and carbon resources but is also a key component in the study of carbon cycling in arid regions, holding scientific and practical significance for addressing climate change and promoting green sustainable development. Therefore, this study takes the Manas River Basin in Xinjiang as an example and based on the 2011 forest resource survey data from the Manas River Basin, constructs basic growth models for the diameter at breast height (DBH)-height and age-DBH relationships for five dominant tree types: Spruce, Poplar, Mixed wood, Sand jujube, and Populus euphratica. The optimal basic models for each types are selected. Secondly, climate factors (annual precipitation, Minimum of Daily Maximum Temperature, TXn) and topographic factors (Digital Elevation Model"";"" DEM) are introduced into the optimal models to construct multivariate nonlinear forest growth models. Finally, deep learning is used to optimize the overall accuracy of the models. The results show that the optimal DBH-height models for Spruce, Poplar, Sand jujube, and Populus euphratica are S-curve models, while the optimal DBH-height model for Mixed wood is a logarithmic model. The optimal age-DBH models for Poplar and Populus euphratica are S-curve models, whereas the optimal age-DBH basic models for Spruce, Mixed wood, and Sand jujube are growth model, linear model, and logistics model, respectively. The overall accuracy of the multivariate nonlinear forest growth models is improved, with the highest R2 reaching 0.890 and the average RMSE increasing by 10.590, mainly due to the decrease in model accuracy for some tree types caused by random factors. Lastly, compared to the basic models and multivariate nonlinear forest growth models, the deep learning approach demonstrates the best performance, with the highest correlation coefficient reaching 0.960. Overall, by constructing forest growth models for five main dominant tree types in the Manas River Basin in Xinjiang, the optimal forest management strategies in the region can be determined, which helps to formulate targeted forest management strategies, effectively address the allocation of carbon and water resources, and promote healthy and sustainable forest development. Copyright 2026 Zhao et al.","Diameter at breast height (DBH)""; Feature variable; Forest growth model; Manas River Basin; Stand age;"" Tree height","algorithm""; Article; carbon cycling; climate change; correlation analysis; deep learning; environmental factor; forest management; grassland; irrigation (agriculture); land use; machine learning; mountain; nerve cell network; nonhuman; Populus; river basin; sediment; simulation; temperature; tree growth; vegetation; water supply;"" Xinjiang",Article,Final,"All Open Access""; Gold Open Access;"" Green Open Access",Scopus
Tambol T.; Derbile E.K.; Soulé M.,"Tambol, Tinawaen (58925410500)""; Derbile, Emmanuel K. (55326872500);"" Soulé, Moussa (57209685386)","58925410500"";55326872500;"" 57209685386",Use of climate smart agriculture technologies in West Africa peri-urban Sahel in Niger,2025,Scientific Reports,15,1,2771,,,10,10.1038/s41598-024-82813-w,https://www.scopus.com/pages/publications/85216607608?origin=resultslist,"Climate change affects peri-urban agricultural systems. However, most studies on Climate-Smart Agriculture (CSA) often focused on climate-smart villages in the Sahel region. This study investigated peri-urban farming systems in West African Sahel cities. Globally, agricultural productivity improvement requires applying technologies and resource access, particularly in dry-season farming. The achievements of Sustainable Development Goals 1, 2, 8, 12 and 13 in developing countries rely on utilising Climate-Smart Agriculture Technologies (CSAT) to address climate change, youth unemployment and food insecurity. The study employed a mixed-method research design, employing field and household surveys of 142 peri-urban smallholder farmers, key informants and desktop-based research in collecting data. The results showed that biopesticides/crop and pest management are the most used CSAT in dry-season farming (p =.002). These technologies eradicate pests and disease outbreaks of crops, vegetables and farm animals. The other technologies included fertilizer micro-dose, organic manure and compost application, flood-tolerant improved varieties, irrigation based on green energy, tele-irrigation, early maturing varieties and planting pits. These technologies were ranked 2nd, 3rd, 4th, 5th, 6th, 7th, 8th and 9th respectively, using mean weighted values. The study underpins local climate change trends and assessment, together with the availability, opportunities and implicit implications of scaling up CSAT. The study also recommends including peri-urban agriculture in climate and land use planning policy, programmes and projects in Niamey city. © The Author(s) 2025.","Climate-smart agriculture technologies""; Niamey; Peri-urban agriculture;"" Sahel smallholder farmers","Africa, Western""; Agriculture; Cities; Climate Change; Crops, Agricultural; Fertilizers; Humans; Niger; Sustainable Development; fertilizer; Africa; agriculture; city; climate change; crop; growth, development and aging; human; Niger; procedures;"" sustainable development",Article,Final,"All Open Access""; Gold Open Access;"" Green Open Access",Scopus
Scanlon B.R.; Pool D.R.; Rateb A.; Conway B.; Sorensen K.; Udall B.; Reedy R.C.,"Scanlon, Bridget R. (7003345902)""; Pool, Donald R. (7003677174); Rateb, Ashraf (57193404653); Conway, Brian (56927714600); Sorensen, Kathryn (59659072700); Udall, Bradley (24473664000);"" Reedy, Robert C. (59631077100)","7003345902"";7003677174;57193404653;56927714600;59659072700;24473664000;"" 59631077100",Multidecadal drought impacts on the Lower Colorado Basin with implications for future management,2025,Communications Earth and Environment,6,1,214,,,16,10.1038/s43247-025-02149-9,https://www.scopus.com/pages/publications/105000319500?origin=resultslist,"Overallocation of Colorado River water and groundwater alongside multidecadal drought underscore the need to understand water-resource dynamics. Here we assess water-storage variations using satellites, regional modeling, and monitoring to inform future management. Total water storage loss from Gravity Recovery and Climate Experiment (GRACE) satellites was dominated by Lower Basin declines (80% of total), exceeding Lake Mead capacity by 40%. These Lower Basin storage declines were dominated by groundwater depletion (60% of total), with cumulative depletion hotspots ≤11 m (2002–2023) and subsidence ≤1 m (2010–2024). Regional groundwater modeling shows intensive depletion (1940s–1970s) followed by partial recovery since the early 1980s from irrigation reduction, wet climate cycles (early 1980s–1990s), and Colorado River water transfers to Central Arizona. Managed aquifer recharge and incidental recharge from imported surface-water irrigation led to a 3-m average groundwater-level rise in Central Arizona Active Management Areas (2000–2023). Projected declines in Colorado River water transfers to Central Arizona could lead to further depletion and subsidence. Water transfers from agricultural to municipal/industrial sectors would improve future management. Understanding system dynamics related to climate and human drivers is essential for developing future conjunctive surface-water and groundwater management strategies. © The Author(s) 2025.",,"Colorado Basin [North America]""; climate cycle; drought; groundwater; river water;"" satellite data",Article,Final,"All Open Access""; Gold Open Access;"" Green Open Access",Scopus
