long,lat,id_arbol,altura_tot,diametro,inclinacio,id_especie,nombre_com,nombre_cie,tipo_folla,espacio_ve,ubicacion,nombre_fam,nombre_gen,origen,coord_x,coord_y
-58.4538209756,-34.6828160976,24,5,12,0,58,"Brachichiton (Árbol botella, Brachichito)",Brachychiton populneus,Árbol Latifoliado Perenne,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Esterculiáceas,Brachychiton,Exótico,100868.679694,94059.87379900001
-58.461413495500004,-34.6820967118,25,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100172.90058,94139.713109
-58.4612236212,-34.6821243836,26,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100190.301456,94136.642366
-58.4610859075,-34.6821551206,27,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100202.92562000001,94133.23043
-58.46101890479999,-34.682215155,28,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100209.067105,94126.577154
-58.4608736605,-34.6822859153,29,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100222.373657,94118.729701
-58.46078614060001,-34.6824196863,30,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100230.391707,94103.887778
-58.460763881300004,-34.682339729,31,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100232.438869,94112.758812
-58.460637298900004,-34.6823212476,32,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100244.03945299999,94114.805974
-58.4605981219,-34.682390476799995,33,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100247.621986,94107.12911699999
-58.460467826599995,-34.682468899,34,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100259.563763,94098.42867899999
-58.4604156669,-34.6824227447,35,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100264.340474,94103.546584
-58.460290938199996,-34.6824473514,36,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100275.77046,94100.817035
-58.460181159399994,-34.682471958200004,37,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100285.835672,94098.087486
-58.460123431199996,-34.6825349671,38,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100291.124174,94091.093016
-58.4600750934,-34.682411920700005,39,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100295.559691,94104.740762
-58.4600471551,-34.6824965645,40,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100298.118643,94095.357937
-58.45990933,-34.6825641687,41,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100310.74280800001,94087.851677
-58.459838622700005,-34.6824273299,42,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100317.225487,94103.034793
-58.4595723562,-34.6825749777,43,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100341.620831,94086.65749900001
-58.4595556629,-34.6825072798,44,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100343.15620299999,94094.163759
-58.4594216556,-34.6826011152,45,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100355.439173,94083.757353
-58.4593099103,-34.6826687195,46,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100365.67498200001,94076.251093
-58.459246620500004,-34.682624186999995,47,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100371.475274,94081.198401
-58.4627957517,-34.6790379826,48,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100046.232445,94479.030176
-58.462782766400004,-34.6789527072,49,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100047.426622,94488.498299
-58.4627762194,-34.6791133422,50,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100048.023711,94470.67093200001
-58.462727879700005,-34.6789288193,51,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100052.45922799999,94491.142549
-58.462690561,-34.679190234400004,52,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100055.871165,94462.141091
-58.4626775758,-34.6792864171,53,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100057.065342,94451.47879
-58.46265618859999,-34.6791080238,54,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100059.027206,94471.26802
-58.46263294600001,-34.6793801659,55,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100061.15966599999,94441.072384
-58.4626254166,-34.679542423499996,56,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100061.842053,94423.07442
-58.462605884,-34.6797208168,57,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100063.63332000001,94403.285189
-58.4625835152,-34.679227193,58,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100065.68048200001,94458.04676699999
-58.4625816596,-34.6796201269,59,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100065.85107799999,94414.45928099999
-58.4625733667,-34.6794916729,60,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100066.618764,94428.704115
-58.4625668201,-34.679129568,61,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100067.215853,94468.879665
-58.4625654004,-34.6798184417,62,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100067.343801,94392.452291
-58.4625146616,-34.6789811022,63,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100071.992564,94485.342258
-58.4625109499,-34.679700804899994,64,21,50,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100072.333757,94405.50294800001
-58.4602393096,-34.682896353000004,65,5,12,0,35,Acacia de constantinopla,Albizia julibrissin,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Leguminosas,Albizia,Exótico,100280.504522,94051.002765
-58.4601667411,-34.6829317778,66,5,12,0,35,Acacia de constantinopla,Albizia julibrissin,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Leguminosas,Albizia,Exótico,100287.157798,94047.079038
-58.4600773694,-34.682904101999995,67,5,12,0,35,Acacia de constantinopla,Albizia julibrissin,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Leguminosas,Albizia,Exótico,100295.346445,94050.149781
-58.4600512873,-34.682951697,68,5,12,0,35,Acacia de constantinopla,Albizia julibrissin,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Leguminosas,Albizia,Exótico,100297.7348,94044.86127899999
-58.459961911099995,-34.683060948400005,69,5,12,0,35,Acacia de constantinopla,Albizia julibrissin,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Leguminosas,Albizia,Exótico,100305.923448,94032.748905
-58.459954494799995,-34.6829379029,70,5,12,0,35,Acacia de constantinopla,Albizia julibrissin,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Leguminosas,Albizia,Exótico,100306.60583500001,94046.396651
-58.45986326479999,-34.6830055081,71,5,12,0,35,Acacia de constantinopla,Albizia julibrissin,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Leguminosas,Albizia,Exótico,100314.965079,94038.890391
-58.4598595524,-34.6830686082,72,5,12,0,35,Acacia de constantinopla,Albizia julibrissin,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Leguminosas,Albizia,Exótico,100315.306272,94031.895921
-58.4526844913,-34.6797612402,73,9,40,0,331,Acacia,Acacia sp.,No Determinado,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Leguminosas,Acacia,No Determinado,100972.854413,94398.75147799999
-58.452574924,-34.6798521855,74,9,40,0,331,Acacia,Acacia sp.,No Determinado,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Leguminosas,Acacia,No Determinado,100982.893241,94388.668426
-58.4537423544,-34.6792460644,75,8,20,0,59,Roble sedoso (Grevillea),Grevillea robusta,Árbol Latifoliado Perenne,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Proteáceas,Grevillea,Exótico,100875.914236,94455.917366
-58.4537318825,-34.6792134318,76,8,20,0,59,Roble sedoso (Grevillea),Grevillea robusta,Árbol Latifoliado Perenne,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Proteáceas,Grevillea,Exótico,100876.87164299999,94459.534237
-58.4536947806,-34.6792258688,77,8,20,0,59,Roble sedoso (Grevillea),Grevillea robusta,Árbol Latifoliado Perenne,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Proteáceas,Grevillea,Exótico,100880.27575700001,94458.151315
-58.4526426513,-34.679248232199996,78,7,20,0,35,Acacia de constantinopla,Albizia julibrissin,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Leguminosas,Albizia,Exótico,100976.696427,94455.667629
-58.452468054499995,-34.6792983373,79,7,20,0,35,Acacia de constantinopla,Albizia julibrissin,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Leguminosas,Albizia,Exótico,100992.692392,94450.103815
-58.452468106000005,-34.678879892800005,80,7,20,0,35,Acacia de constantinopla,Albizia julibrissin,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Leguminosas,Albizia,Exótico,100992.692392,94496.526886
-58.452401763400005,-34.678867357399994,81,7,20,0,35,Acacia de constantinopla,Albizia julibrissin,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Leguminosas,Albizia,Exótico,100998.777813,94497.91784
